,date,weekday,remortgage,brexit,UKelection,gold_price,"P2Y-variable-(0, 60]","P2Y-variable-(60, 90]","P2Y-variable-(90, 100]","P2Y-fixed-(0, 60]","P2Y-fixed-(60, 90]","P2Y-fixed-(90, 100]","P3Y-variable-(0, 60]","P3Y-variable-(60, 90]","P3Y-variable-(90, 100]","P3Y-fixed-(0, 60]","P3Y-fixed-(60, 90]","P3Y-fixed-(90, 100]","P5Y-variable-(0, 60]","P5Y-variable-(60, 90]","P5Y-variable-(90, 100]","P5Y-fixed-(0, 60]","P5Y-fixed-(60, 90]","P5Y-fixed-(90, 100]","P10Y-variable-(0, 60]","P10Y-variable-(60, 90]","P10Y-variable-(90, 100]","P10Y-fixed-(0, 60]","P10Y-fixed-(60, 90]","P10Y-fixed-(90, 100]","P0Y-variable-(0, 60]","P0Y-variable-(60, 90]","P0Y-variable-(90, 100]","P0Y-fixed-(0, 60]","P0Y-fixed-(60, 90]","P0Y-fixed-(90, 100]",Total,Req_per_user,Total_conversions
58,2019-11-22,4.0,35.0,9.0,71,1471.3,24.0,14.0,0.0,265.0,213.0,19.0,2.0,0.0,0.0,41.0,37.0,1.0,3.0,1.0,0.0,93.0,80.0,6.0,2.0,1.0,0.0,37.0,13.0,2.0,0.0,1.0,0.0,13.0,2.0,0.0,870.0,1.891304347826087,87.0
40,2019-10-29,1.0,38.0,28.0,90,1492.75,13.0,8.0,3.0,357.0,342.0,51.0,3.0,1.0,0.0,46.0,53.0,4.0,3.0,2.0,0.0,132.0,88.0,8.0,1.0,2.0,0.0,40.0,13.0,0.0,1.0,0.0,0.0,14.0,1.0,1.0,1187.0,1.8634222919937207,108.0
10,2019-09-17,1.0,62.0,22.0,6,1499.3,10.0,17.0,0.0,345.0,323.0,45.0,1.0,0.0,0.0,35.0,43.0,10.0,5.0,0.0,0.0,141.0,135.0,7.0,0.0,0.0,0.0,49.0,36.0,3.0,0.0,0.0,0.0,17.0,3.0,1.0,1226.0,1.8055964653902798,108.0
16,2019-09-25,2.0,42.0,22.0,12,1530.85,25.0,18.0,1.0,467.0,479.0,50.0,2.0,3.0,1.0,80.0,74.0,3.0,3.0,1.0,0.0,187.0,180.0,28.0,3.0,0.0,0.0,70.0,30.0,2.0,0.0,0.0,0.0,19.0,5.0,0.0,1731.0,1.867313915857605,136.0
54,2019-11-18,0.0,58.0,8.0,59,1458.4,6.0,8.0,0.0,288.0,258.0,15.0,2.0,0.0,0.0,26.0,34.0,2.0,12.0,0.0,0.0,103.0,117.0,3.0,1.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,913.0,1.8007889546351086,69.0
4,2019-09-09,0.0,72.0,25.0,15,1509.95,24.0,7.0,1.0,319.0,294.0,27.0,0.0,0.0,0.0,39.0,40.0,2.0,7.0,1.0,0.0,110.0,114.0,2.0,3.0,0.0,0.0,36.0,14.0,1.0,2.0,0.0,0.0,10.0,5.0,1.0,1059.0,1.7858347386172007,100.0
38,2019-10-25,4.0,28.0,27.0,15,1504.65,24.0,14.0,1.0,337.0,305.0,49.0,1.0,1.0,0.0,61.0,62.0,5.0,1.0,1.0,0.0,130.0,130.0,12.0,1.0,0.0,0.0,31.0,21.0,2.0,1.0,1.0,0.0,14.0,4.0,1.0,1210.0,1.8445121951219512,100.0
2,2019-09-05,3.0,41.0,31.0,22,1542.6,26.0,9.0,4.0,521.0,389.0,45.0,4.0,2.0,0.0,64.0,49.0,4.0,9.0,2.0,0.0,163.0,142.0,5.0,4.0,2.0,0.0,44.0,26.0,1.0,0.0,1.0,0.0,27.0,8.0,0.0,1551.0,1.8225616921269094,144.0
46,2019-11-06,2.0,74.0,12.0,64,1488.55,16.0,11.0,0.0,316.0,331.0,41.0,2.0,1.0,0.0,42.0,31.0,4.0,3.0,0.0,0.0,108.0,105.0,4.0,3.0,1.0,0.0,33.0,19.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1081.0,1.9981515711645101,95.0
60,2019-11-26,1.0,42.0,9.0,96,1457.65,12.0,9.0,2.0,323.0,307.0,38.0,0.0,1.0,2.0,35.0,44.0,11.0,2.0,0.0,1.0,116.0,129.0,7.0,1.0,0.0,0.0,23.0,22.0,2.0,2.0,0.0,0.0,12.0,4.0,0.0,1105.0,1.9051724137931034,93.0
